spin,type,state,area,isDead
0,0,q,-1769,False
1,2,q,19,False
2,2,q,16,False
3,2,q,17,False
4,2,q,17,False
5,2,q,18,False
6,2,q,16,False
7,1,q,11,False
8,2,q,19,False
9,2,q,20,False
10,2,q,27,False
11,2,q,21,False
12,2,q,21,False
13,2,q,16,False
14,2,q,20,False
15,2,q,12,False
16,2,q,18,False
17,2,q,13,False
18,1,q,12,False
19,2,q,15,False
20,1,q,15,False
21,2,q,24,False
22,2,q,17,False
23,2,q,23,False
24,2,q,20,False
25,2,q,19,False
26,1,q,12,False
27,2,q,16,False
28,2,q,28,False
29,2,q,29,False
30,2,q,27,False
31,2,q,25,False
32,1,q,15,False
33,2,q,11,False
34,1,q,6,False
35,2,q,15,False
36,2,q,21,False
37,2,q,19,False
38,2,q,21,False
39,2,q,16,False
40,1,q,4,False
41,2,q,13,False
42,1,q,2,False
43,2,q,10,False
44,2,q,16,False
45,2,q,0,True
46,2,q,11,False
47,2,q,17,False
48,2,q,24,False
49,2,q,22,False
50,2,q,0,True
51,1,q,8,False
52,1,q,7,False
53,2,q,15,False
54,2,q,19,False
55,2,q,11,False
56,1,q,5,False
57,2,q,15,False
58,2,q,14,False
59,2,q,19,False
60,2,q,7,False
61,1,q,12,False
62,1,q,12,False
63,2,q,9,False
64,1,q,1,False
65,1,q,4,False
66,2,q,15,False
67,2,q,12,False
68,1,q,8,False
69,2,q,18,False
70,2,q,17,False
71,1,q,0,True
72,2,q,5,False
73,1,q,5,False
74,1,q,3,False
75,2,q,8,False
76,2,q,10,False
77,2,q,9,False
78,2,q,11,False
79,2,q,13,False
80,2,q,13,False
81,2,q,0,True
82,2,q,6,False
83,2,q,11,False
84,1,q,3,False
85,2,q,8,False
86,2,q,19,False
87,2,q,13,False
88,2,q,16,False
89,2,q,3,False
90,2,q,9,False
91,2,q,3,False
92,1,q,0,True
93,2,q,0,True
94,1,q,0,True
95,2,q,14,False
96,2,q,11,False
97,2,q,0,True
98,2,q,14,False
99,2,q,0,True
100,2,q,4,False
101,2,q,0,True
102,1,q,0,True
103,2,q,14,False
104,2,q,10,False
105,2,q,18,False
106,2,q,11,False
107,1,q,0,True
108,2,q,12,False
109,1,q,0,True
110,1,q,5,False
111,2,q,5,False
112,2,q,22,False
113,2,q,13,False
114,2,q,21,False
115,2,q,13,False
116,2,q,12,False
117,2,q,7,False
118,1,q,0,True
119,1,q,5,False
120,2,q,18,False
121,1,q,6,False
122,2,q,14,False
123,2,q,0,True
124,1,q,2,False
125,2,q,7,False
126,2,q,8,False
127,2,q,11,False
128,2,q,14,False
129,2,q,0,True
130,2,q,9,False
131,1,q,13,False
132,2,q,13,False
133,2,q,20,False
134,2,q,18,False
135,2,q,14,False
136,2,q,21,False
137,2,q,16,False
138,2,q,15,False
139,1,q,6,False
140,2,q,9,False
141,2,q,18,False
142,2,q,19,False
143,2,q,20,False
144,2,q,12,False
145,2,q,15,False
146,1,q,0,True
147,1,q,0,True
148,1,q,6,False
149,2,q,8,False
150,1,q,4,False
