spin,type,state,area,isDead
0,0,q,-2644,False
1,1,q,0,True
2,2,q,0,True
3,1,q,0,True
4,2,q,39,False
5,2,q,16,False
6,1,q,0,True
7,2,q,12,False
8,2,q,24,False
9,1,q,0,True
10,2,q,44,False
11,2,q,0,True
12,2,q,34,False
13,2,q,0,True
14,1,q,0,True
15,1,q,0,True
16,2,q,38,False
17,2,q,28,False
18,1,q,0,True
19,2,q,18,False
20,2,q,0,True
21,2,q,72,False
22,2,q,31,False
23,2,q,24,False
24,2,q,19,False
25,2,q,45,False
26,2,q,100,False
27,2,q,20,False
28,2,q,148,False
29,2,q,153,False
30,2,q,49,False
31,2,q,62,False
32,2,q,42,False
33,2,q,61,False
34,2,q,32,False
35,2,q,36,False
36,2,q,27,False
37,2,q,36,False
38,2,q,21,False
39,2,q,29,False
40,1,q,0,True
41,1,q,0,True
42,2,q,19,False
43,2,q,29,False
44,2,q,0,True
45,2,q,31,False
46,1,q,1,False
47,2,q,48,False
48,2,q,53,False
49,2,q,31,False
50,2,q,37,False
51,1,q,0,True
52,2,q,39,False
53,2,q,20,False
54,2,q,24,False
55,1,q,0,True
56,2,q,14,False
57,2,q,14,False
58,2,q,22,False
59,2,q,28,False
60,2,q,27,False
61,2,q,31,False
62,1,q,0,True
63,2,q,20,False
64,1,q,0,True
65,1,q,0,True
66,1,q,0,True
67,2,q,38,False
68,2,q,40,False
69,2,q,0,True
70,1,q,0,True
71,2,q,30,False
72,2,q,20,False
73,1,q,0,True
74,2,q,19,False
75,2,q,22,False
76,2,q,10,False
77,2,q,0,True
78,1,q,0,True
79,2,q,0,True
80,1,q,0,True
81,2,q,0,True
82,2,q,26,False
83,2,q,33,False
84,2,q,29,False
85,2,q,0,True
86,2,q,40,False
87,2,q,0,True
88,2,q,0,True
89,2,q,21,False
90,2,q,15,False
91,1,q,0,True
92,1,q,0,True
93,2,q,16,False
94,2,q,0,True
95,1,q,0,True
96,2,q,10,False
97,2,q,19,False
98,2,q,17,False
99,2,q,22,False
100,1,q,0,True
101,1,q,0,True
102,2,q,22,False
103,2,q,0,True
104,2,q,37,False
105,2,q,26,False
106,1,q,0,True
107,2,q,0,True
108,2,q,3,False
109,2,q,0,True
110,2,q,26,False
111,2,q,12,False
112,1,q,0,True
113,2,q,17,False
114,2,q,0,True
115,1,q,0,True
116,1,q,0,True
117,1,q,0,True
118,2,q,0,True
119,1,q,0,True
120,1,q,0,True
121,2,q,27,False
122,1,q,0,True
123,2,q,23,False
124,2,q,28,False
125,1,q,0,True
126,2,q,0,True
127,2,q,18,False
128,2,q,14,False
129,2,q,14,False
130,1,q,0,True
131,2,q,18,False
132,2,q,0,True
133,2,q,0,True
134,2,q,0,True
135,2,q,12,False
136,2,q,15,False
137,2,q,0,True
138,2,q,0,True
139,1,q,0,True
140,2,q,21,False
141,1,q,0,True
142,2,q,23,False
143,2,q,35,False
144,2,q,20,False
145,2,q,0,True
146,2,q,20,False
147,2,q,13,False
148,1,q,0,True
149,2,q,0,True
150,2,q,25,False
